Star,RA,DEC,RMS,Median Mag,SS Best Metric,SNR at Peak,Peak Period
9440088,115.5691528,-42.10326386,0.107503821,11.94540381,0.498675,0.003250707,0.99859
62431643,49.27019119,-28.91271019,0.153073136,13.35614443,0.507905,0.002339686,1.49623
6998971,92.10999298,7.629590034,0.143087482,13.6205163,1.004375,0.011005597,1.03447
54027685,86.5582962,-8.300243378,0.114135321,12.22458649,0.986435,0.004232125,1.49831
44726421,48.48881149,-17.62996101,0.08852746,12.28867245,1.49766,0.006697377,0.49939
2974965,83.14219666,-35.9314537,0.080234248,11.75467396,0.699265,0.003265758,1.49779
9432158,114.9298935,-41.54041672,0.111898138,12.48619127,1.0112,0.001220321,0.99898
11742945,96.9983139,-34.06901932,0.066064208,11.38083267,1.035185,0.003468684,0.99833
9201931,79.77514648,-40.56071091,0.166566382,13.08267546,1.01575,0.005387851,1.49571
62466262,83.59223938,-28.54741478,0.136736864,12.51354027,0.999175,0.003641034,1.0008
54001585,81.09196472,-6.65430069,0.082702327,11.72962379,1.374225,0.0025971,1.00067
14726740,78.88793182,-3.307313919,0.204256307,12.99477029,0.995145,0.009230646,0.99612
58402805,18.04727364,0.847690642,0.028323129,10.3550415,1.05345,0.001970064,1.33061
44781617,69.03276062,-15.46137142,0.168125199,13.7565546,1.49597,0.005201966,0.99937
48807581,29.41759872,-53.9681778,0.067192928,11.78409672,1.00067,0.00363118,1.0008
15007299,81.9602356,-4.523924351,0.029617762,9.91275024,0.99794,0.003639498,1.24741
14732132,84.3747406,-3.253382921,0.167577705,13.36952686,1.002555,0.015172971,0.66553
58447927,58.5750885,0.521392703,0.044474639,11.34588862,1.429215,0.003692602,1.49714
7540123,79.98609924,7.196963787,0.191288607,13.70484877,1.009445,0.00671903,1.49532
3028140,95.19461823,-36.32950974,0.090863538,11.38213039,1.035055,0.00397272,0.99651
59500990,81.46007538,0.316761136,0.15710793,13.11417818,1.49168,0.003769744,1.49753
37517867,123.7524567,-48.2802887,0.185511259,13.45577335,1.03499,0.006290591,1.49766
14053932,80.70450592,-0.148145169,0.065391143,11.41644287,1.00145,0.003615185,1.49402
59073170,86.58860779,1.341580987,0.133950137,12.98939944,1.1503,0.004649783,1.49558
15172550,78.18638611,-1.090179443,0.130009069,12.55113506,1.017245,0.005113824,1.49376
37292398,98.29091644,-48.80368805,0.123829671,12.77118969,0.67372,0.002609593,0.49861
14724919,76.06699371,-2.249200583,0.204263794,11.58110332,0.99651,0.04050467,0.49939
14726959,79.09017944,-1.734557986,0.159220362,14.0607233,1.03616,0.016642586,1.49545
6743746,86.8416748,6.382596016,0.173043562,13.90897441,0.96882,0.011993232,1.26249
33784332,84.13455963,-24.66125107,0.373894667,13.0012207,0.99612,0.012544355,0.99599
48938766,123.6947708,-51.86014557,0.120177672,12.09256649,0.664815,0.001607506,0.99859
15178428,80.08144379,-1.817674756,0.137078358,12.54271507,1.496685,0.00258185,1.49376
14057301,84.40953064,-0.250334024,0.337228598,11.75181627,1.005415,0.00972547,1.03174
9223437,85.98725128,-44.5272522,0.069298781,11.44892335,0.99456,0.003758104,1.49779
15166443,76.09883118,-1.380058765,0.322078218,11.42296123,0.9982,0.018055731,0.99495
58435911,47.50728607,0.273199439,0.096593414,12.3782177,0.998785,0.003885219,1.00041
45042645,104.5275955,-17.38072205,0.107771924,12.21340561,1.325605,0.002414967,1.49792
58456994,60.71829987,1.264300823,0.118835285,12.7797575,0.3079,0.009075794,0.99495
59083461,90.16561127,2.334552765,0.032689186,10.27871037,0.99781,0.004594071,0.99443
59490742,77.47257996,0.162232012,0.158436426,13.84108877,1.007235,0.009385714,1.49779
16028357,90.74289703,-2.847961903,0.138866146,13.09659553,1.034925,0.003234562,1.33061
37165260,52.65709686,-45.62728882,0.091260059,12.45052982,1.01575,0.00202681,1.00054
9423358,114.1562347,-42.8301506,0.12061567,12.61669898,1.03499,0.00148817,1.49805
54024921,85.73288727,-7.31071806,0.234510721,13.96156931,1.33022,0.018626354,1.33152
58469376,83.16529083,1.275539398,0.077603572,11.9841547,1.461845,0.003716853,1.49818
37442836,116.8734283,-48.46995163,0.094593523,11.67479205,1.03499,0.003601995,0.49861
48926096,120.5299912,-51.5652771,0.191016003,13.36863661,1.03512,0.003160702,0.99508
15192898,85.39318085,-2.030540705,0.189894166,12.51458216,1.34686,0.00871138,1.03473
6929852,11.1474371,7.713792801,0.184965475,13.79644775,1.032,0.005831014,1.33061
3028389,95.23825073,-37.22833633,0.122904636,12.63586664,1.015815,0.003459436,0.99898
37502085,122.2485962,-46.14102936,0.116455353,12.18274403,0.9995,0.004267047,1.49584
33792879,85.72125244,-21.92281151,0.231106686,14.1506176,1.496425,0.013413451,1.38378
15188604,83.15769196,-1.626275897,0.38291386,8.87107182,1.006975,0.016201843,0.99482
15020016,96.78784943,-4.478684902,0.571444012,11.77287674,0.98234,0.012671273,1.03031
14061212,86.3547821,-0.623583794,0.204105201,12.82532787,1.226545,0.00502583,1.22674
6742192,85.07084656,5.873180866,0.073510754,11.51250839,0.995145,0.004769361,0.99573
60297260,63.26841736,4.342116833,0.099120089,12.53953934,0.96336,0.004692058,1.33113
3265739,119.2578201,-36.30997086,0.230954552,13.29521179,0.9982,0.006846003,1.49766
48932417,122.265274,-53.95726013,0.046006866,11.03164434,1.034925,0.002081912,0.99859
47861333,70.10607147,-53.66913223,0.131366828,12.82007694,1.035185,0.003823824,0.99703
6741206,84.05303955,6.430138588,0.018956152,9.29185152,1.009575,0.001164056,1.33087
59154138,114.867569,1.656818628,0.071551662,11.86071205,0.52669,0.003950424,0.99417
15187889,82.92519379,-2.042803288,0.125488263,12.2429142,1.362135,0.004470959,1.24741
58468080,80.94172668,0.540189147,0.128566374,12.52536154,1.44579,0.005218635,1.49688
44847683,84.17945862,-19.63574791,0.120228222,11.1810565,1.49532,0.004796285,1.49623
37443135,116.9040985,-47.4421463,0.172366296,12.26148891,0.99599,0.004823787,0.99885
61004473,91.01324463,0.030627428,0.105496492,12.363307,0.988385,0.002467785,1.47088
6977889,87.98497772,8.704735756,0.143761779,13.06889391,0.518435,0.004877544,1.33204
53999757,80.8117218,-6.699594021,0.276859687,13.55884266,1.329635,0.011808678,0.99287
8454597,85.85401154,9.101055145,0.088823019,11.65140963,1.00249,0.007735331,1.49324
45043829,104.5981827,-17.20429611,0.134391159,13.45443296,1.009705,0.002050085,1.49493
16015908,84.05500793,-4.242580891,0.187245384,13.48529745,0.997875,0.018194735,0.66553
16008405,79.48319244,-3.211980343,0.129778624,12.42516184,1.031805,0.00668039,0.49861
7539835,79.82375336,7.674948692,0.121729592,12.38652039,1.035965,0.006919891,1.49402
6739164,80.91523743,5.283414841,0.362098749,11.29925537,0.489315,0.021321576,0.99885
14059309,85.1053772,-1.268345714,0.15473325,12.45605803,1.00665,0.004013808,1.32957
15189480,83.42681122,-1.143352032,0.744505076,9.98697948,0.489315,0.019169789,0.96479
14732623,84.94934082,-2.540718555,0.176470314,12.78815079,0.998005,0.009699196,0.99508
14731951,84.20703125,-3.94716692,0.133094925,12.56130958,0.408,0.002754605,1.32957
60332634,82.67787933,4.637766838,0.191382991,13.3693037,0.996575,0.005398539,1.42434
3200333,113.9601822,-39.72699356,0.067735171,11.47912979,1.496165,0.001407181,1.49584
15188306,83.05660248,-1.652731776,0.328433149,12.6371069,0.489315,0.010571117,1.01107
7497310,52.78466415,7.223245621,0.05414948,9.99089813,0.97922,0.004108344,1.49376
9419339,113.7964859,-42.71724701,0.120178551,12.65683198,0.417425,0.002968536,1.4961
