Star,RA,DEC,RMS,Median Mag,SS Best Metric,SNR at Peak,Peak Period
15018488,93.63989258,-4.831385136,0.038815107,10.90664816,0.7551,0.003296111,1.49701
56218066,86.65536499,-14.42207432,0.038403199,9.99361086,1.367205,0.00167678,1.49831
24876589,114.8675842,-57.41587067,0.038300405,9.9692297,1.03512,0.002264493,0.99781
37501690,122.2061768,-49.56019974,0.038136071,10.56119347,0.976035,0.00239059,0.99794
14731105,83.1603775,-1.82162118,0.03781454,9.48342752,1.00366,0.003463149,1.49545
53983603,78.02832031,-5.748950958,0.037650092,10.72020626,0.997485,0.003570948,1.49558
56523135,111.2464905,-13.99163151,0.037002347,9.99311018,0.996445,0.002701157,1.49844
9496838,120.4339218,-44.27986908,0.036737115,10.41951799,1.034925,0.002317891,0.99872
34116738,113.1036224,-21.40671158,0.036658169,9.74770927,1.49389,0.004184384,1.49779
34135310,114.3793716,-23.07350349,0.036481059,10.23448372,0.32974,0.002318441,1.49831
58711986,123.9914093,0.326386333,0.035781134,10.03116465,0.996315,0.00344289,1.49545
44819830,78.85163116,-19.06066513,0.03574619,7.08968306,1.32983,0.001816812,1.38573
56620560,115.6841354,-13.89041328,0.035648293,10.27386141,1.03265,0.00149888,1.49558
50058073,123.2109528,-63.97748184,0.035604771,7.43131781,0.997225,0.001422944,0.99586
11896743,109.7499313,-30.01416016,0.035574106,8.70905948,0.498805,0.003234286,1.49818
2936601,69.42905426,-35.72547913,0.035174193,10.72085428,1.034405,0.002617518,0.99716
11886597,109.199585,-30.36595726,0.035099938,10.37207032,0.987605,0.001207751,1.49558
14731846,84.07167053,-1.989876032,0.035099876,10.44935131,1.496685,0.00606153,1.49402
33996197,105.930603,-24.51123428,0.035084542,9.03599453,0.507905,0.002230265,1.49818
54304224,107.1676941,-6.815889359,0.034959166,9.26348782,1.035055,0.002313844,0.99625
14066344,90.1841507,-1.027410507,0.03471575,9.90840459,0.999435,0.003467745,1.49857
54230628,103.5863876,-8.53605175,0.034715049,10.58423233,1.03486,0.001685693,0.99703
3201117,114.0138016,-35.26405716,0.034537907,9.099368575,1.03499,0.001712001,1.4961
9437277,115.3498383,-43.3061409,0.034491273,9.286669015,1.03499,0.001605227,1.49818
24915378,121.7682114,-59.83072662,0.034420369,10.13656807,0.996445,0.001609883,0.9982
9069411,4.79860878,-43.42785263,0.034324803,10.78997612,1.056635,0.001533774,1.49818
50041413,119.4838028,-61.36532974,0.034297512,9.46953535,0.998135,0.001279022,0.9982
54081982,94.1490097,-7.50809145,0.034235757,10.64610958,1.495775,0.001130844,1.49623
56592925,114.3436127,-14.59713745,0.034039576,9.80105424,0.98702,0.002077932,0.99781
50046795,120.8578796,-60.15299988,0.03399363,8.43568182,1.03512,0.001521806,0.99989
37481944,120.2688446,-48.89789581,0.033204796,9.48150659,0.997225,0.002126023,0.99677
24882116,115.8099136,-59.823452,0.033075744,8.64569378,1.03512,0.001078949,1.00002
9301790,101.5562134,-44.60839844,0.033035954,8.179591895,1.344845,0.001692317,0.99872
53982820,77.89172363,-8.428850174,0.033000804,10.28757573,0.997355,0.003278574,1.4961
37471968,119.413559,-49.57698059,0.032984178,8.913020135,1.03499,0.002465826,0.99651
9250329,92.52558136,-43.36828232,0.032918996,10.36988187,0.99742,0.004007291,1.49779
36212536,121.9934845,-74.63610077,0.032778614,9.90632439,0.997225,0.003148886,0.99742
3145163,109.5079498,-35.00703812,0.032735179,10.20608902,0.998395,0.002826584,1.49571
49962631,97.35597992,-61.64389801,0.032693629,10.51506472,0.99677,0.001128434,1.49805
7021614,102.8979797,6.782526016,0.032462892,9.96624374,0.507905,0.003781185,1.4961
12038293,116.5947266,-34.65244675,0.032414592,9.85274339,0.99924,0.003268115,1.4961
44898975,91.07957459,-16.7694664,0.032361452,9.226741315,1.326775,0.001744547,1.49805
9489970,119.7119217,-42.1878891,0.032154049,9.49881363,1.034925,0.000966467,0.99469
62479034,91.76709747,-29.48018265,0.032126179,10.44683075,0.99898,0.005139722,0.9982
3207792,114.4893799,-36.11111069,0.031990463,7.56700611,0.99638,0.001483865,0.99651
